,time,x,x,x,x,time,u,u,u,u
107,2.18,0,0,0,0,2.18,0,0,0,0
108,2.2,0,0,0,0,2.2,0,0,0,0
109,2.22,0,0,0,0,2.22,0,0,0,0
110,2.24,0,0,0,0,2.24,0,0,0,0
111,2.26,0,0,0,0,2.26,0,0,0,0
112,2.28,0,0,0,0,2.28,0,0,0,0
113,2.3,0,0,0,0,2.3,0,0,0,0
114,2.32,0,0,0,0,2.32,0,0,0,0
115,2.34,0,0,0,0,2.34,0,0,0,0
116,2.36,0,0,0,0,2.36,0,0,0,0
117,2.38,0,0,0,0,2.38,0,0,0,0
118,2.4,0,0,0,0,2.4,0,0,0,0
119,2.42,0,0,0,0,2.42,0,0,0,0
120,2.44,0,0,0,0,2.44,0,0,0,0
121,2.46,0,0,0,0,2.46,0,0,0,0
122,2.48,0,0,0,0,2.48,0,0,0,0
123,2.5,0,0,0,0,2.5,0,0,0,0
124,2.52,0,0,0,0,2.52,0,0,0,0
125,2.54,0,0,0,0,2.54,0,0,0,0
126,2.56,0,0,0,0,2.56,0,0,0,0
127,2.58,0,0,0,0,2.58,0,0,0,0
128,2.6,0,0,0,0,2.6,0,0,0,0
129,2.62,0,0,0,0,2.62,0,0,0,0
130,2.64,0,0,0,0,2.64,0,0,0,0
131,2.66,0,0,0,0,2.66,0,0,0,0
132,2.68,0,0,0,0,2.68,0,0,0,0
133,2.7,0,0,0,0,2.7,0,0,0,0
134,2.72,0,0,0,0,2.72,0,0,0,0
135,2.74,0,0,0,0,2.74,0,0,0,0
136,2.76,0,0,0,0,2.76,0,0,0,0
137,2.78,0,0,0,0,2.78,0,0,0,0
138,2.8,0,0,0,0,2.8,0,0,0,0
139,2.82,0,0,0,0,2.82,0,0,0,0
140,2.84,0,0,0,0,2.84,0,0,0,0
141,2.86,0,0,0,0,2.86,0,0,0,0
142,2.88,0,0,0,0,2.88,0,0,0,0
143,2.9,0,0,0,0,2.9,0,0,0,0
144,2.92,0,0,0,0,2.92,0,0,0,0
145,2.94,0,0,0,0,2.94,0,0,0,0
146,2.96,0,0,0,0,2.96,0,0,0,0
147,2.98,0,0,0,0,2.98,0,0,0,0
148,3,0,0,0,0,3,0,0,0,0
149,3.02,0,0,0,0,3.02,0,0,0,0
150,3.04,0,0,0,0,3.04,0,0,0,0
151,3.06,0,0,0,0,3.06,0,0,0,0
152,3.08,0,0,0,0,3.08,0,0,0,0
153,3.1,0,0,0,0,3.1,0,0,0,0
154,3.12,0,0,0,0,3.12,0,0,0,0
155,3.14,0,0,0,0,3.14,0,0,0,0
156,3.16,0,0,0,0,3.16,0,0,0,0
157,3.18,0,0,0,0,3.18,0,0,0,0
158,3.2,0,0,0,0,3.2,0,0,0,0
159,3.22,0,0,0,0,3.22,0,0,0,0
160,3.24,0,0,0,0,3.24,0,0,0,0
161,3.26,0,0,0,0,3.26,0,0,0,0
162,3.28,0,0,0,0,3.28,0,0,0,0
163,3.3,0,0,0,0,3.3,0,0,0,0
164,3.32,0,0,0,0,3.32,0,0,0,0
165,3.34,0,0,0,0,3.34,0,0,0,0
166,3.36,0,0,0,0,3.36,0,0,0,0
167,3.38,0,0,0,0,3.38,0,0,0,0
